vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
55751941,2021-02-24,2020-10-15,25,148,IA,WA
11514228,2021-03-01,2020-10-17,29,129,EA,WA
40949538,2021-03-02,2020-10-18,32,94,EA,WA
58222963,2021-03-02,2020-10-19,31,121,EA,WA
22526110,2021-03-02,2020-10-21,21,162,IA,WA
70721065,2021-03-04,2020-10-22,0,998,EA,WA
73767475,2020-11-18,2020-10-22,0,0,IA,WA
76463893,2020-11-23,2020-11-03,0,0,IA,WA
30668811,2020-11-17,2020-11-12,0,0,EA,WA
22080969,2020-11-20,2020-11-19,0,0,EA,WA
35405402,2020-12-17,2020-12-09,0,0,EA,WA
32591158,2020-12-16,2020-12-08,0,0,IA,WA
70202519,2021-02-15,2020-07-10,32,111,EA,WA
19248222,2020-10-07,2020-06-29,40,12,EA,WA
84977624,2021-02-24,2020-09-01,31,116,EA,WI
56754558,2020-09-30,2020-06-08,31,113,EA,WI
19409401,2020-10-27,2020-08-10,31,120,EA,WI
99166358,2020-10-01,2020-06-09,25,150,EA,WI
27747020,2020-11-17,2020-06-11,28,142,IA,WI
70900878,2020-10-30,2020-06-15,31,124,IA,WI
19242891,2020-10-29,2020-06-16,25,148,IA,WI
28050273,2020-10-29,2020-06-16,25,154,IA,WI
56342656,2020-10-15,2020-06-19,31,119,EA,WI
83665274,2020-10-20,2020-06-25,25,152,EA,WI
47602009,2020-10-21,2020-06-26,25,152,IA,WI
64775332,2020-10-06,2020-07-17,25,148,IA,WI
57520739,2020-10-28,2020-07-01,21,164,EA,WI
60836274,2020-11-10,2020-07-08,31,117,IA,WI
81995401,2020-11-03,2020-07-10,0,998,EA,WI
23515981,2020-11-05,2020-07-11,32,104,IA,WI
18483263,2020-11-17,2020-07-13,32,106,EA,WI
66424065,2020-11-30,2020-07-13,25,147,EA,WI
71971758,2020-12-22,2020-07-13,40,41,IA,WI
16725414,2020-11-13,2020-07-14,29,125,IA,WI
11867622,2020-11-13,2020-07-14,31,113,IA,WI
82448480,2020-11-10,2020-07-15,32,99,EA,WI
93543279,2020-11-12,2020-07-20,32,105,EA,WI
60825766,2020-11-17,2020-07-21,31,124,IA,WI
62750814,2020-11-18,2020-07-22,35,84,IA,WI
54468846,2020-11-18,2020-07-22,10,0,IA,WI
78370077,2020-12-03,2020-07-24,40,28,EA,WI
76425814,2020-12-03,2020-07-24,40,35,EA,WI
47785256,2020-11-30,2020-07-24,32,109,EA,WI
77570001,2020-11-20,2020-07-28,31,116,EA,WI
63519313,2021-02-24,2020-07-29,31,120,IA,WI
30668798,2020-11-24,2020-09-01,0,998,IA,WI
56095315,2020-11-24,2020-07-29,32,102,EA,WI
14699613,2020-11-24,2020-07-29,32,99,EA,WI
12631759,2020-11-30,2020-07-30,31,123,EA,WI
28889313,2020-11-24,2020-07-31,29,128,IA,WI
16356004,2020-12-01,2020-08-03,31,116,IA,WI
51770726,2020-12-31,2020-08-05,25,154,EA,WI
71976583,2020-12-29,2020-08-10,40,49,IA,WI
39753685,2020-12-29,2020-08-10,32,111,IA,WI
63616237,2020-12-08,2020-08-11,0,998,EA,WI
94564812,2020-12-09,2020-08-14,40,35,EA,WI
53602494,2020-12-23,2020-08-20,31,116,IA,WI
96578203,2020-12-23,2020-08-31,31,124,EA,WI
49149322,2020-12-23,2020-09-02,32,97,EA,WI
